2015-01-24 12:27:08    remove .sass-cache/ 
2015-01-24 12:28:26    create css/screen.css 
2015-01-24 12:37:25 identical css/screen.css 
2015-01-24 12:39:11     error sass/screen.scss (Line 15: Invalid CSS after "	posi": expected "{", was "}")
2015-01-24 12:39:11 overwrite css/screen.css 
2015-01-24 12:39:45 overwrite css/screen.css 
2015-01-24 12:40:40 overwrite css/screen.css 
2015-01-24 12:40:48 overwrite css/screen.css 
2015-01-24 12:41:18 overwrite css/screen.css 
2015-01-24 12:41:20 identical css/screen.css 
2015-01-24 12:42:14 overwrite css/screen.css 
2015-01-24 12:42:37 overwrite css/screen.css 
2015-01-24 12:43:25     error sass/screen.scss (Line 45: Invalid CSS after "	height: 100px": expected ";", was ");")
2015-01-24 12:43:25 overwrite css/screen.css 
2015-01-24 12:43:30     error sass/screen.scss (Line 46: Invalid CSS after "	height: 100px": expected ";", was ");")
2015-01-24 12:43:30 overwrite css/screen.css 
2015-01-24 12:43:36 overwrite css/screen.css 
2015-01-24 12:43:49 overwrite css/screen.css 
2015-01-24 12:44:23 overwrite css/screen.css 
2015-01-24 12:44:28 overwrite css/screen.css 
2015-01-24 12:44:41 overwrite css/screen.css 
2015-01-24 12:44:59 overwrite css/screen.css 
2015-01-24 12:45:07 overwrite css/screen.css 
2015-01-24 12:46:08 overwrite css/screen.css 
2015-01-24 12:46:26 overwrite css/screen.css 
2015-01-24 12:46:36 overwrite css/screen.css 
2015-01-24 12:47:09 overwrite css/screen.css 
2015-01-24 12:47:59 overwrite css/screen.css 
2015-01-24 12:49:41 overwrite css/screen.css 
2015-01-24 12:51:22 overwrite css/screen.css 
2015-01-24 12:52:08 overwrite css/screen.css 
2015-01-24 12:52:30 overwrite css/screen.css 
2015-01-24 12:53:06 overwrite css/screen.css 
2015-01-24 12:53:28 overwrite css/screen.css 
2015-01-24 12:53:39 overwrite css/screen.css 
2015-01-24 12:53:51 overwrite css/screen.css 
2015-01-24 12:53:59 overwrite css/screen.css 
2015-01-24 12:54:28 overwrite css/screen.css 
2015-01-24 12:55:56 overwrite css/screen.css 
2015-01-24 12:56:57 overwrite css/screen.css 
2015-01-24 12:58:07 overwrite css/screen.css 
2015-01-24 12:58:36 overwrite css/screen.css 
2015-01-24 12:59:14 overwrite css/screen.css 
2015-01-24 12:59:27 overwrite css/screen.css 
2015-01-24 13:00:11 overwrite css/screen.css 
2015-01-24 13:00:46 overwrite css/screen.css 
2015-01-24 13:01:31 overwrite css/screen.css 
2015-01-24 13:01:44 overwrite css/screen.css 
2015-01-24 13:02:24 overwrite css/screen.css 
2015-01-24 13:02:49 overwrite css/screen.css 
2015-01-24 13:03:13 overwrite css/screen.css 
2015-01-24 13:03:25 overwrite css/screen.css 
2015-01-24 13:03:58 overwrite css/screen.css 
2015-01-24 13:08:37 overwrite css/screen.css 
2015-01-24 13:08:55 overwrite css/screen.css 
2015-01-24 13:14:05 overwrite css/screen.css 
2015-01-24 13:14:20 identical css/screen.css 
2015-01-24 13:15:08 overwrite css/screen.css 
2015-01-24 13:15:31 overwrite css/screen.css 
2015-01-24 13:15:43 overwrite css/screen.css 
2015-01-24 13:15:48 overwrite css/screen.css 
2015-01-24 13:16:41 overwrite css/screen.css 
2015-01-24 13:17:37 overwrite css/screen.css 
2015-01-24 13:18:15 overwrite css/screen.css 
2015-01-24 13:18:26 overwrite css/screen.css 
2015-01-24 13:19:33 overwrite css/screen.css 
2015-01-24 13:19:48 overwrite css/screen.css 
2015-01-24 13:20:15 overwrite css/screen.css 
2015-01-24 13:20:22 overwrite css/screen.css 
2015-01-24 13:21:07 overwrite css/screen.css 
2015-01-24 13:21:31 overwrite css/screen.css 
2015-01-24 13:22:33 overwrite css/screen.css 
2015-01-24 13:22:51 identical css/screen.css 
2015-01-24 13:23:04 overwrite css/screen.css 
2015-01-24 13:23:21 overwrite css/screen.css 
2015-01-24 13:23:54 overwrite css/screen.css 
2015-01-24 13:25:42 overwrite css/screen.css 
2015-01-24 13:25:47 overwrite css/screen.css 
2015-01-24 13:25:59 overwrite css/screen.css 
2015-01-24 13:26:19 overwrite css/screen.css 
2015-01-24 13:26:30 overwrite css/screen.css 
2015-01-24 13:26:56 overwrite css/screen.css 
2015-01-24 13:27:05 overwrite css/screen.css 
2015-01-24 13:27:10 overwrite css/screen.css 
2015-01-24 13:27:27 overwrite css/screen.css 
2015-01-24 13:27:39 overwrite css/screen.css 
2015-01-24 13:27:50 overwrite css/screen.css 
2015-01-24 13:29:36 overwrite css/screen.css 
2015-01-24 13:41:24 overwrite css/screen.css 
2015-01-24 13:41:54 overwrite css/screen.css 
2015-01-24 13:42:15 overwrite css/screen.css 
2015-01-24 13:42:25 overwrite css/screen.css 
2015-01-24 13:43:14 overwrite css/screen.css 
2015-01-24 13:43:50 overwrite css/screen.css 
2015-01-24 13:43:51 identical css/screen.css 
2015-01-24 13:44:40 overwrite css/screen.css 
2015-01-24 13:45:23 overwrite css/screen.css 
2015-01-24 13:46:36 overwrite css/screen.css 
2015-01-24 13:47:05 overwrite css/screen.css 
2015-01-24 13:48:21 overwrite css/screen.css 
2015-01-24 13:48:37 overwrite css/screen.css 
2015-01-24 13:49:06 overwrite css/screen.css 
2015-01-24 13:49:17 overwrite css/screen.css 
2015-01-24 13:49:33 overwrite css/screen.css 
2015-01-24 13:49:49     error sass/screen.scss (Line 97: Invalid CSS after "			/left": expected /\//, was ": -10rem;")
2015-01-24 13:49:49 overwrite css/screen.css 
2015-01-24 13:49:51 overwrite css/screen.css 
2015-01-24 13:50:17 overwrite css/screen.css 
2015-01-24 13:50:29 overwrite css/screen.css 
2015-01-24 13:51:01 overwrite css/screen.css 
2015-01-24 13:51:43 overwrite css/screen.css 
2015-01-24 13:53:25 overwrite css/screen.css 
2015-01-24 13:53:28 overwrite css/screen.css 
2015-01-24 13:53:43 overwrite css/screen.css 
2015-01-24 13:53:54 overwrite css/screen.css 
2015-01-24 13:54:04 overwrite css/screen.css 
2015-01-24 13:55:36 overwrite css/screen.css 
2015-01-24 13:55:42 overwrite css/screen.css 
